"length","width","height","orientation","price","qty","filter_id","original_filter"
5,5,1,"landscape",2.4,4,"5x5x1","10x10x1"
5,10,1,"portrait",2.46,4,"5x10x1","10x20x1"
5,12,1,"portrait",2.88,4,"5x12x1","10x24x1"
5,12.5,1,"portrait",3.37,4,"5x12.5x1","10x25x1"
5,15,1,"portrait",3.84,4,"5x15x1","10x30x1"
6,6,1,"landscape",2.46,4,"6x6x1","12x12x1"
6,8,1,"portrait",2.46,4,"6x8x1","12x16x1"
6,9,1,"portrait",2.46,4,"6x9x1","12x18x1"
6,10,1,"portrait",2.46,4,"6x10x1","12x20x1"
6,12,1,"portrait",2.41,4,"6x12x1","12x24x1"
6,12.5,1,"portrait",2.77,4,"6x12.5x1","12x25x1"
6,15,1,"portrait",3.95,4,"6x15x1","12x30x1"
7,7,1,"landscape",2.4,4,"7x7x1","14x14x1"
7,10,1,"portrait",2.62,4,"7x10x1","14x20x1"
7,12,1,"portrait",2.52,4,"7x12x1","14x24x1"
7,12.5,1,"portrait",2.85,4,"7x12.5x1","14x25x1"
7,15,1,"portrait",3.47,4,"7x15x1","14x30x1"
7.5,10,1,"portrait",2.84,4,"7.5x10x1","15x20x1"
7.5,12.5,1,"portrait",3.47,4,"7.5x12.5x1","15x25x1"
7.5,15,1,"portrait",3.79,4,"7.5x15x1","15x30x1"
8,8,1,"landscape",2.51,4,"8x8x1","16x16x1"
8,10,1,"portrait",2.3,4,"8x10x1","16x20x1"
8,12,1,"portrait",2.51,4,"8x12x1","16x24x1"
8,12.5,1,"portrait",2.6,4,"8x12.5x1","16x25x1"
8,15,1,"portrait",3.79,4,"8x15x1","16x30x1"
9,9,1,"landscape",3.09,4,"9x9x1","18x18x1"
9,10,1,"portrait",3.09,4,"9x10x1","18x20x1"
9,12,1,"portrait",3.09,4,"9x12x1","18x24x1"
9,12.5,1,"portrait",3.09,4,"9x12.5x1","18x25x1"
9,15,1,"portrait",4.09,4,"9x15x1","18x30x1"
10,10,1,"landscape",2.62,4,"10x10x1","20x20x1"
10,11,1,"portrait",3.81,4,"10x11x1","20x22x1"
10,12,1,"portrait",2.9,4,"10x12x1","20x24x1"
10,12.5,1,"portrait",2.9,4,"10x12.5x1","20x25x1"
10,15,1,"portrait",4.16,4,"10x15x1","20x30x1"
11,11,1,"landscape",3.9,4,"11x11x1","22x22x1"
12,12,1,"landscape",3.12,4,"12x12x1","24x24x1"
12,15,1,"portrait",4.41,4,"12x15x1","24x30x1"
12.5,12.5,1,"landscape",4.16,4,"12.5x12.5x1","25x25x1"
