"length","width","height","orientation","price","qty","filter_id","original_filter"
10,5,1,"landscape",2.46,4,"5x10x1","10x20x1"
10,6,1,"landscape",2.88,4,"6x10x1","10x24x1"
10,6.2,1,"landscape",3.37,4,"6.2x10x1","10x25x1"
10,7.5,1,"landscape",3.84,4,"7.5x10x1","10x30x1"
12,4,1,"landscape",2.46,4,"4x12x1","12x16x1"
12,4.5,1,"landscape",2.46,4,"4.5x12x1","12x18x1"
12,5,1,"landscape",2.46,4,"5x12x1","12x20x1"
12,6,1,"landscape",2.41,4,"6x12x1","12x24x1"
12,6.2,1,"landscape",2.77,4,"6.2x12x1","12x25x1"
12,7.5,1,"landscape",3.95,4,"7.5x12x1","12x30x1"
14,5,1,"landscape",2.62,4,"5x14x1","14x20x1"
14,6,1,"landscape",2.52,4,"6x14x1","14x24x1"
14,6.2,1,"landscape",2.85,4,"6.2x14x1","14x25x1"
14,7.5,1,"landscape",3.47,4,"7.5x14x1","14x30x1"
15,5,1,"landscape",2.84,4,"5x15x1","15x20x1"
15,6.2,1,"landscape",3.47,4,"6.2x15x1","15x25x1"
15,7.5,1,"landscape",3.79,4,"7.5x15x1","15x30x1"
16,4,1,"landscape",2.51,4,"4x16x1","16x16x1"
4,20,1,"portrait",2.3,4,"4x20x1","16x20x1"
16,5,1,"landscape",2.3,4,"5x16x1","16x20x1"
4,24,1,"portrait",2.51,4,"4x24x1","16x24x1"
16,6,1,"landscape",2.51,4,"6x16x1","16x24x1"
4,25,1,"portrait",2.6,4,"4x25x1","16x25x1"
16,6.2,1,"landscape",2.6,4,"6.2x16x1","16x25x1"
4,30,1,"portrait",3.79,4,"4x30x1","16x30x1"
16,7.5,1,"landscape",3.79,4,"7.5x16x1","16x30x1"
18,4.5,1,"landscape",3.09,4,"4.5x18x1","18x18x1"
4.5,20,1,"portrait",3.09,4,"4.5x20x1","18x20x1"
18,5,1,"landscape",3.09,4,"5x18x1","18x20x1"
4.5,24,1,"portrait",3.09,4,"4.5x24x1","18x24x1"
18,6,1,"landscape",3.09,4,"6x18x1","18x24x1"
4.5,25,1,"portrait",3.09,4,"4.5x25x1","18x25x1"
18,6.2,1,"landscape",3.09,4,"6.2x18x1","18x25x1"
4.5,30,1,"portrait",4.09,4,"4.5x30x1","18x30x1"
18,7.5,1,"landscape",4.09,4,"7.5x18x1","18x30x1"
20,5,1,"landscape",2.62,4,"5x20x1","20x20x1"
5,22,1,"portrait",3.81,4,"5x22x1","20x22x1"
20,5.5,1,"landscape",3.81,4,"5.5x20x1","20x22x1"
5,24,1,"portrait",2.9,4,"5x24x1","20x24x1"
20,6,1,"landscape",2.9,4,"6x20x1","20x24x1"
5,25,1,"portrait",2.9,4,"5x25x1","20x25x1"
20,6.2,1,"landscape",2.9,4,"6.2x20x1","20x25x1"
5,30,1,"portrait",4.16,4,"5x30x1","20x30x1"
20,7.5,1,"landscape",4.16,4,"7.5x20x1","20x30x1"
22,5.5,1,"landscape",3.9,4,"5.5x22x1","22x22x1"
24,6,1,"landscape",3.12,4,"6x24x1","24x24x1"
6,30,1,"portrait",4.41,4,"6x30x1","24x30x1"
24,7.5,1,"landscape",4.41,4,"7.5x24x1","24x30x1"
25,6.2,1,"landscape",4.16,4,"6.2x25x1","25x25x1"
