"length","width","height","orientation","price","qty","filter_id","original_filter"
10,5,1,"landscape",2.4,2,"5x10x1","10x10x1"
5,20,1,"portrait",2.46,2,"5x20x1","10x20x1"
10,10,1,"landscape",2.46,2,"10x10x1","10x20x1"
5,24,1,"portrait",2.88,2,"5x24x1","10x24x1"
12,10,1,"landscape",2.46,2,"10x12x1","12x20x1"
5,25,1,"portrait",3.37,2,"5x25x1","10x25x1"
10,12.5,1,"portrait",3.37,2,"10x12.5x1","10x25x1"
5,30,1,"portrait",3.84,2,"5x30x1","10x30x1"
15,10,1,"landscape",2.84,2,"10x15x1","15x20x1"
12,6,1,"landscape",2.46,2,"6x12x1","12x12x1"
6,16,1,"portrait",2.46,2,"6x16x1","12x16x1"
12,8,1,"landscape",2.46,2,"8x12x1","12x16x1"
6,18,1,"portrait",2.46,2,"6x18x1","12x18x1"
12,9,1,"landscape",2.46,2,"9x12x1","12x18x1"
6,20,1,"portrait",2.46,2,"6x20x1","12x20x1"
6,24,1,"portrait",2.41,2,"6x24x1","12x24x1"
12,12,1,"landscape",2.41,2,"12x12x1","12x24x1"
6,25,1,"portrait",2.77,2,"6x25x1","12x25x1"
12,12.5,1,"portrait",2.77,2,"12x12.5x1","12x25x1"
6,30,1,"portrait",3.95,2,"6x30x1","12x30x1"
12,15,1,"portrait",3.95,2,"12x15x1","12x30x1"
14,7,1,"landscape",2.4,2,"7x14x1","14x14x1"
7,20,1,"portrait",2.62,2,"7x20x1","14x20x1"
14,10,1,"landscape",2.62,2,"10x14x1","14x20x1"
7,24,1,"portrait",2.52,2,"7x24x1","14x24x1"
14,12,1,"landscape",2.52,2,"12x14x1","14x24x1"
7,25,1,"portrait",2.85,2,"7x25x1","14x25x1"
14,12.5,1,"landscape",2.85,2,"12.5x14x1","14x25x1"
7,30,1,"portrait",3.47,2,"7x30x1","14x30x1"
14,15,1,"portrait",3.47,2,"14x15x1","14x30x1"
7.5,20,1,"portrait",2.84,2,"7.5x20x1","15x20x1"
7.5,25,1,"portrait",3.47,2,"7.5x25x1","15x25x1"
15,12.5,1,"landscape",3.47,2,"12.5x15x1","15x25x1"
7.5,30,1,"portrait",3.79,2,"7.5x30x1","15x30x1"
15,15,1,"landscape",3.79,2,"15x15x1","15x30x1"
16,8,1,"landscape",2.51,2,"8x16x1","16x16x1"
8,20,1,"portrait",2.3,2,"8x20x1","16x20x1"
16,10,1,"landscape",2.3,2,"10x16x1","16x20x1"
8,24,1,"portrait",2.51,2,"8x24x1","16x24x1"
16,12,1,"landscape",2.51,2,"12x16x1","16x24x1"
8,25,1,"portrait",2.6,2,"8x25x1","16x25x1"
16,12.5,1,"landscape",2.6,2,"12.5x16x1","16x25x1"
8,30,1,"portrait",3.79,2,"8x30x1","16x30x1"
16,15,1,"landscape",3.79,2,"15x16x1","16x30x1"
18,9,1,"landscape",3.09,2,"9x18x1","18x18x1"
9,20,1,"portrait",3.09,2,"9x20x1","18x20x1"
18,10,1,"landscape",3.09,2,"10x18x1","18x20x1"
9,24,1,"portrait",3.09,2,"9x24x1","18x24x1"
18,12,1,"landscape",3.09,2,"12x18x1","18x24x1"
9,25,1,"portrait",3.09,2,"9x25x1","18x25x1"
18,12.5,1,"landscape",3.09,2,"12.5x18x1","18x25x1"
9,30,1,"portrait",4.09,2,"9x30x1","18x30x1"
18,15,1,"landscape",4.09,2,"15x18x1","18x30x1"
20,10,1,"landscape",2.62,2,"10x20x1","20x20x1"
10,22,1,"portrait",3.81,2,"10x22x1","20x22x1"
20,11,1,"landscape",3.81,2,"11x20x1","20x22x1"
10,24,1,"portrait",2.9,2,"10x24x1","20x24x1"
20,12,1,"landscape",2.9,2,"12x20x1","20x24x1"
10,25,1,"portrait",2.9,2,"10x25x1","20x25x1"
20,12.5,1,"landscape",2.9,2,"12.5x20x1","20x25x1"
10,30,1,"portrait",4.16,2,"10x30x1","20x30x1"
20,15,1,"landscape",4.16,2,"15x20x1","20x30x1"
22,11,1,"landscape",3.9,2,"11x22x1","22x22x1"
24,12,1,"landscape",3.12,2,"12x24x1","24x24x1"
12,30,1,"portrait",4.41,2,"12x30x1","24x30x1"
24,15,1,"landscape",4.41,2,"15x24x1","24x30x1"
25,12.5,1,"landscape",4.16,2,"12.5x25x1","25x25x1"
