"length","width","height","orientation","price","filter_id","original_filter"
20,5,1,"landscape",2.4,"5x20x1","10x10x1"
5,40,1,"portrait",2.46,"5x40x1","10x20x1"
20,10,1,"landscape",2.46,"10x20x1","10x20x1"
5,48,1,"portrait",2.88,"5x48x1","10x24x1"
24,10,1,"landscape",2.46,"10x24x1","12x20x1"
5,50,1,"portrait",3.37,"5x50x1","10x25x1"
10,25,1,"portrait",3.37,"10x25.0x1","10x25x1"
5,60,1,"portrait",3.84,"5x60x1","10x30x1"
30,10,1,"landscape",2.84,"10x30x1","15x20x1"
24,6,1,"landscape",2.46,"6x24x1","12x12x1"
6,32,1,"portrait",2.46,"6x32x1","12x16x1"
24,8,1,"landscape",2.46,"8x24x1","12x16x1"
6,36,1,"portrait",2.46,"6x36x1","12x18x1"
24,9,1,"landscape",2.46,"9x24x1","12x18x1"
6,40,1,"portrait",2.46,"6x40x1","12x20x1"
6,48,1,"portrait",2.41,"6x48x1","12x24x1"
24,12,1,"landscape",2.41,"12x24x1","12x24x1"
6,50,1,"portrait",2.77,"6x50x1","12x25x1"
12,25,1,"portrait",2.77,"12x25.0x1","12x25x1"
6,60,1,"portrait",3.95,"6x60x1","12x30x1"
12,30,1,"portrait",3.95,"12x30x1","12x30x1"
28,7,1,"landscape",2.4,"7x28x1","14x14x1"
7,40,1,"portrait",2.62,"7x40x1","14x20x1"
28,10,1,"landscape",2.62,"10x28x1","14x20x1"
7,48,1,"portrait",2.52,"7x48x1","14x24x1"
28,12,1,"landscape",2.52,"12x28x1","14x24x1"
7,50,1,"portrait",2.85,"7x50x1","14x25x1"
28,12.5,1,"landscape",2.85,"12.5x28x1","14x25x1"
7,60,1,"portrait",3.47,"7x60x1","14x30x1"
14,30,1,"portrait",3.47,"14x30x1","14x30x1"
7.5,40,1,"portrait",2.84,"7.5x40x1","15x20x1"
7.5,50,1,"portrait",3.47,"7.5x50x1","15x25x1"
30,12.5,1,"landscape",3.47,"12.5x30x1","15x25x1"
7.5,60,1,"portrait",3.79,"7.5x60x1","15x30x1"
30,15,1,"landscape",3.79,"15x30x1","15x30x1"
32,8,1,"landscape",2.51,"8x32x1","16x16x1"
8,40,1,"portrait",2.3,"8x40x1","16x20x1"
32,10,1,"landscape",2.3,"10x32x1","16x20x1"
8,48,1,"portrait",2.51,"8x48x1","16x24x1"
32,12,1,"landscape",2.51,"12x32x1","16x24x1"
8,50,1,"portrait",2.6,"8x50x1","16x25x1"
32,12.5,1,"landscape",2.6,"12.5x32x1","16x25x1"
8,60,1,"portrait",3.79,"8x60x1","16x30x1"
32,15,1,"landscape",3.79,"15x32x1","16x30x1"
36,9,1,"landscape",3.09,"9x36x1","18x18x1"
9,40,1,"portrait",3.09,"9x40x1","18x20x1"
36,10,1,"landscape",3.09,"10x36x1","18x20x1"
9,48,1,"portrait",3.09,"9x48x1","18x24x1"
36,12,1,"landscape",3.09,"12x36x1","18x24x1"
9,50,1,"portrait",3.09,"9x50x1","18x25x1"
36,12.5,1,"landscape",3.09,"12.5x36x1","18x25x1"
9,60,1,"portrait",4.09,"9x60x1","18x30x1"
36,15,1,"landscape",4.09,"15x36x1","18x30x1"
40,10,1,"landscape",2.62,"10x40x1","20x20x1"
10,44,1,"portrait",3.81,"10x44x1","20x22x1"
40,11,1,"landscape",3.81,"11x40x1","20x22x1"
10,48,1,"portrait",2.9,"10x48x1","20x24x1"
40,12,1,"landscape",2.9,"12x40x1","20x24x1"
10,50,1,"portrait",2.9,"10x50x1","20x25x1"
40,12.5,1,"landscape",2.9,"12.5x40x1","20x25x1"
10,60,1,"portrait",4.16,"10x60x1","20x30x1"
40,15,1,"landscape",4.16,"15x40x1","20x30x1"
44,11,1,"landscape",3.9,"11x44x1","22x22x1"
48,12,1,"landscape",3.12,"12x48x1","24x24x1"
12,60,1,"portrait",4.41,"12x60x1","24x30x1"
48,15,1,"landscape",4.41,"15x48x1","24x30x1"
50,12.5,1,"landscape",4.16,"12.5x50x1","25x25x1"
