"length","width","height","orientation","price","filter_id","original_filter"
30,6.7,1,"landscape",2.46,"6.7x30x1","10x20x1"
30,8,1,"landscape",2.88,"8x30x1","10x24x1"
30,8.3,1,"landscape",3.37,"8.3x30x1","10x25x1"
30,10,1,"landscape",3.84,"10x30x1","10x30x1"
36,4,1,"landscape",2.46,"4x36x1","12x12x1"
4,48,1,"portrait",2.46,"4x48x1","12x16x1"
36,5.3,1,"landscape",2.46,"5.3x36x1","12x16x1"
4,54,1,"portrait",2.46,"4x54x1","12x18x1"
36,6,1,"landscape",2.46,"6x36x1","12x18x1"
4,60,1,"portrait",2.46,"4x60x1","12x20x1"
36,6.7,1,"landscape",2.46,"6.7x36x1","12x20x1"
4,72,1,"portrait",2.41,"4x72x1","12x24x1"
36,8,1,"landscape",2.41,"8x36x1","12x24x1"
4,75,1,"portrait",2.77,"4x75x1","12x25x1"
36,8.3,1,"landscape",2.77,"8.3x36x1","12x25x1"
4,90,1,"portrait",3.95,"4x90x1","12x30x1"
36,10,1,"landscape",3.95,"10x36x1","12x30x1"
42,4.7,1,"landscape",2.4,"4.7x42x1","14x14x1"
4.7,60,1,"portrait",2.62,"4.7x60x1","14x20x1"
42,6.7,1,"landscape",2.62,"6.7x42x1","14x20x1"
4.7,72,1,"portrait",2.52,"4.7x72x1","14x24x1"
42,8,1,"landscape",2.52,"8x42x1","14x24x1"
4.7,75,1,"portrait",2.85,"4.7x75x1","14x25x1"
42,8.3,1,"landscape",2.85,"8.3x42x1","14x25x1"
4.7,90,1,"portrait",3.47,"4.7x90x1","14x30x1"
42,10,1,"landscape",3.47,"10x42x1","14x30x1"
5,60,1,"portrait",2.84,"5x60x1","15x20x1"
45,6.7,1,"landscape",2.84,"6.7x45x1","15x20x1"
5,75,1,"portrait",3.47,"5x75x1","15x25x1"
45,8.3,1,"landscape",3.47,"8.3x45x1","15x25x1"
5,90,1,"portrait",3.79,"5x90x1","15x30x1"
45,10,1,"landscape",3.79,"10x45x1","15x30x1"
48,5.3,1,"landscape",2.51,"5.3x48x1","16x16x1"
5.3,60,1,"portrait",2.3,"5.3x60x1","16x20x1"
48,6.7,1,"landscape",2.3,"6.7x48x1","16x20x1"
5.3,72,1,"portrait",2.51,"5.3x72x1","16x24x1"
48,8,1,"landscape",2.51,"8x48x1","16x24x1"
5.3,75,1,"portrait",2.6,"5.3x75x1","16x25x1"
48,8.3,1,"landscape",2.6,"8.3x48x1","16x25x1"
5.3,90,1,"portrait",3.79,"5.3x90x1","16x30x1"
48,10,1,"landscape",3.79,"10x48x1","16x30x1"
54,6,1,"landscape",3.09,"6x54x1","18x18x1"
6,60,1,"portrait",3.09,"6x60x1","18x20x1"
54,6.7,1,"landscape",3.09,"6.7x54x1","18x20x1"
6,72,1,"portrait",3.09,"6x72x1","18x24x1"
54,8,1,"landscape",3.09,"8x54x1","18x24x1"
6,75,1,"portrait",3.09,"6x75x1","18x25x1"
54,8.3,1,"landscape",3.09,"8.3x54x1","18x25x1"
6,90,1,"portrait",4.09,"6x90x1","18x30x1"
54,10,1,"landscape",4.09,"10x54x1","18x30x1"
60,6.7,1,"landscape",2.62,"6.7x60x1","20x20x1"
6.7,66,1,"portrait",3.81,"6.7x66x1","20x22x1"
60,7.3,1,"landscape",3.81,"7.3x60x1","20x22x1"
6.7,72,1,"portrait",2.9,"6.7x72x1","20x24x1"
60,8,1,"landscape",2.9,"8x60x1","20x24x1"
6.7,75,1,"portrait",2.9,"6.7x75x1","20x25x1"
60,8.3,1,"landscape",2.9,"8.3x60x1","20x25x1"
6.7,90,1,"portrait",4.16,"6.7x90x1","20x30x1"
60,10,1,"landscape",4.16,"10x60x1","20x30x1"
66,7.3,1,"landscape",3.9,"7.3x66x1","22x22x1"
72,8,1,"landscape",3.12,"8x72x1","24x24x1"
8,90,1,"portrait",4.41,"8x90x1","24x30x1"
72,10,1,"landscape",4.41,"10x72x1","24x30x1"
75,8.3,1,"landscape",4.16,"8.3x75x1","25x25x1"
